MJD;JD;Epoche;F_vobs_blau[Jy];delta_F_vobs_blau_[Jy];F_vo_blau;m_b[mag];delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot[Jy];F_vo_rot;m_r[mag];delta_m_r;m_b-m_r;delta_m-b_m_r;P_LS;Phase_LS
55858.6526852;2455859.1526852;55103.2514251425;53.30700725;0.0163372544;0.7961;-4.5645416931;0.0003327508;11.36279473;0.0101599702;0.15;-4.6984847553;0.0009708041;0.1339430622;0.0010262474;308.2583986073;0.4505455925
55325.0295486;2455325.5295486;55103.2514251425;56.0925407317;0.0158959694;0.7961;-4.6198437201;0.0003076849;11.7474590486;0.0118388056;0.15;-4.7346317018;0.0010941787;0.1147879816;0.0011366165;308.2583986073;0.7194552507
55325.032037;2455325.532037;55103.2514251425;56.9187972946;0.0349971794;0.7961;-4.6357202272;0.0006675774;11.8302118777;0.0620907269;0.15;-4.7422531595;0.0056984736;0.1065329324;0.0057374438;308.2583986073;0.7194633232
55325.0359606;2455325.5359606;55103.2514251425;56.7883128749;0.0270019781;0.7961;-4.6332283562;0.000516251;11.8681945733;0.094309006;0.15;-4.7457334967;0.0086276562;0.1125051405;0.0086430878;308.2583986073;0.7194760515
55494.8026852;2455495.3026852;55103.2514251425;60.3738952236;0.0184499534;0.7961;-4.699703932;0.0003317954;12.5262231777;0.0109219862;0.15;-4.8043222153;0.0009466857;0.1046182833;0.001003146;308.2583986073;0.2702046784
55510.6532407;2455511.1532407;55103.2514251425;58.9465043539;0.0193706553;0.7961;-4.6737260794;0.0003567883;12.3416733186;0.0121764081;0.15;-4.7882069687;0.0010711973;0.1144808894;0.0011290534;308.2583986073;0.321624382
55505.4558218;2455505.9558218;55103.2514251425;59.5613058315;0.0178148606;0.7961;-4.684991467;0.000324745;12.4102841575;0.0104752202;0.15;-4.7942261664;0.0009164436;0.1092346994;0.0009722799;308.2583986073;0.3047637906
55511.3600579;2455511.8600579;55103.2514251425;59.0797502131;0.0209600915;0.7961;-4.6761775664;0.0003851934;12.3061686655;0.0124904997;0.15;-4.7850790102;0.0011019992;0.1089014438;0.00116738;308.2583986073;0.3239173194
55863.6966551;2455864.1966551;55103.2514251425;52.1212109316;0.0169858741;0.7961;-4.540117183;0.0003538325;11.1612684481;0.0105669044;0.15;-4.6790557369;0.0010279182;0.1389385539;0.0010871123;308.2583986073;0.4669083905
55864.6601042;2455865.1601042;55103.2514251425;52.4165392951;0.0145583728;0.7961;-4.5462518004;0.0003015566;11.1966385393;0.009255671;0.15;-4.6824909977;0.0008975209;0.1362391973;0.0009468264;308.2583986073;0.4700338498
55870.6384491;2455871.1384491;55103.2514251425;52.1524653692;0.0145301301;0.7961;-4.5407680486;0.0003024955;11.0994765524;0.010397468;0.15;-4.6730280976;0.0010170666;0.132260049;0.0010610976;308.2583986073;0.4894277899
55875.7771875;2455876.2771875;55103.2514251425;52.7766082966;0.0194290642;0.7961;-4.553684632;0.0003997005;11.0473641775;0.013474075;0.15;-4.6679185294;0.0013242336;0.1142338974;0.0013832408;308.2583986073;0.5060980199
56084.9449653;2456085.4449653;55103.2514251425;59.1017122729;0.0194161681;0.7961;-4.6765810984;0.0003566874;11.5683644996;0.0101358023;0.15;-4.7179517625;0.0009512846;0.0413706641;0.0010159569;308.2583986073;0.1846449102
56085.7048148;2456086.2048148;55103.2514251425;58.8050982447;0.0204921132;0.7961;-4.6711183899;0.000378352;11.4690401683;0.0701088753;0.15;-4.7085895368;0.006636976;0.0374711469;0.0066477515;308.2583986073;0.187109886
56087.70125;2456088.20125;55103.2514251425;58.8907672615;0.0180290432;0.7961;-4.6726989717;0.0003323914;11.5829487613;0.0120727831;0.15;-4.7193196903;0.0011316512;0.0466207187;0.0011794568;308.2583986073;0.193586385
56088.9403356;2456089.4403356;55103.2514251425;58.7167903156;0.0219025175;0.7961;-4.6694867086;0.000405001;11.3851428269;0.0955271701;0.15;-4.7006180604;0.0091098819;0.0311313518;0.0091188801;308.2583986073;0.1976060179
56229.7608218;2456230.2608218;55103.2514251425;53.943691723;0.0067508323;0.7961;-4.5774326021;0.0001358754;10.9099444437;0.0100060124;0.15;-4.6543282;0.0009957787;0.0768955979;0.0010050061;308.2583986073;0.6544321314
56230.7430787;2456231.2430787;55103.2514251425;53.2868927194;0.0406372361;0.7961;-4.5641319309;0.0008279957;10.6184530009;0.064020053;0.15;-4.6249249752;0.0065460467;0.0607930443;0.0065982046;308.2583986073;0.6576186039
