MJD;JD;Epoche;F_vobs_blau[Jy];delta_F_vobs_blau_[Jy];F_vo_blau;m_b[mag];delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot_[Jy];F_vo_rot;m_r[mag];delta_m_r;m_b-m_r;delta_m_b-m_r;P_LS;Phase_LS
55264.5713657;2455265.0713657;55271.2934293429;15.090729608;0.0096527816;0.7961;-3.1943565342;0.0006944909;2.7459197241;0.0070809009;0.15;-3.156491444;0.002799787;-0.0378650902;0.002884636;429.4647098206;0.9843478091
55234.9624306;2455235.4624306;55271.2934293429;14.4116672211;0.0244414579;0.7961;-3.1443665035;0.0018413536;2.6070124467;0.023666162;0.15;-3.1001296139;0.0098561896;-0.0442368895;0.0100267171;429.4647098206;0.915403995
55239.2024537;2455239.7024537;55271.2934293429;14.2514066647;0.0095509632;0.7961;-3.1322252724;0.0007276353;2.648517682;0.006235197;0.15;-3.1172790442;0.0025560634;-0.0149462282;0.0026576142;429.4647098206;0.9252768041
55969.6599074;2455970.1599074;55271.2934293429;12.0781100532;0.0064670953;0.7961;-2.9525783964;0.0005813459;2.2789716671;0.0051523634;0.15;-2.9541191672;0.002454663;0.0015407708;0.0025225649;429.4647098206;0.6261323971
55992.9564468;2455993.4564468;55271.2934293429;12.6701703737;0.0063846356;0.7961;-3.0045370772;0.0005471142;2.3200689324;0.0049770835;0.15;-2.9735240738;0.0023291548;-0.0310130035;0.0023925501;429.4647098206;0.6803779239
55999.8007407;2456000.3007407;55271.2934293429;12.6048742168;0.0076628065;0.7961;-2.9989272308;0.0006600452;2.3873785079;0.005482564;0.15;-3.004575052;0.0024933701;0.0056478212;0.0025792546;429.4647098206;0.6963147255
56158.5922685;2456159.0922685;55271.2934293429;14.9004204674;0.0439827672;0.7961;-3.1805772495;0.0032048547;2.6502449595;0.0445924041;0.15;-3.1179868953;0.0182683444;-0.0625903542;0.0185473313;429.4647098206;0.0660576268
56159.5890741;2456160.0890741;55271.2934293429;15.262946879;0.0087614079;0.7961;-3.206676922;0.0006232465;2.7671990557;0.0054671508;0.15;-3.1648728544;0.0021450873;-0.0418040676;0.002233794;429.4647098206;0.0683786687
55234.9556944;2455235.4556944;55271.2934293429;14.4743870557;0.0134367849;0.7961;-3.1490813947;0.0010079048;2.6410597584;0.0548447622;0.15;-3.1142174222;0.0225466098;-0.0348639724;0.0225691269;429.4647098206;0.9153883099
