MJD;JD;Epoche;F_vobs_blau[Jy];delta_F_vobs_blau_[Jy];F_vo_blau;m_b[mag];delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot[Jy];F_vo_rot;m_r[mag];delta_m_r;m_b-m_r;delta_m_b-m_r;P_LS;Phase_LS
55696.0695949;2455696.5695949;55237.1644164416;2.9438204217;0.0050467041;0.7961;-1.4198592245;0.0018613191;0.532349568;0.0055927797;0.15;-1.3752641173;0.0114065716;1.3771254365;0.0115574385;302.3859355379;0.517614163
55697.9141551;2455698.4141551;55237.1644164416;2.9613364004;0.0060374806;0.7961;-1.4263003026;0.0022135652;0.5333857662;0.0055755084;0.15;-1.3773754075;0.0113492554;1.3795889727;0.0115631082;302.3859355379;0.5237141828
55708.959294;2455709.459294;55237.1644164416;2.932163695;0.0053355526;0.7961;-1.4155514706;0.001975675;0.5537732516;0.0047861936;0.15;-1.4181017888;0.0093838835;1.4200774638;0.009589607;302.3859355379;0.5602408119
55709.9584028;2455710.4584028;55237.1644164416;2.9003891604;0.0055204792;0.7961;-1.4037216236;0.0020665448;0.5207837708;0.0049176364;0.15;-1.351415457;0.0102523469;1.3534820018;0.0104585479;302.3859355379;0.5635448967
55712.9860069;2455713.4860069;55237.1644164416;2.7912424415;0.021683776;0.7961;-1.3620748403;0.0084345453;0.5488057848;0.0531339151;0.15;-1.4083185535;0.1051180891;1.4167530988;0.1054559349;302.3859355379;0.5735572807
55722.7872569;2455723.2872569;55237.1644164416;2.9175755944;0.0044808804;0.7961;-1.4101362338;0.0016674989;0.5535916567;0.0056369981;0.15;-1.4177456928;0.0110556091;1.4194131917;0.011180655;302.3859355379;0.6059703293
55723.8432292;2455724.3432292;55237.1644164416;2.9407908091;0.0046094462;0.7961;-1.4187412712;0.0017018016;0.5275526776;0.0060933834;0.15;-1.3654364315;0.0125405619;1.3671382331;0.0126555055;302.3859355379;0.6094624636
55728.8459838;2455729.3459838;55237.1644164416;2.9636376218;0.0057736073;0.7961;-1.4271436884;0.0021151757;0.5615613389;0.0044635651;0.15;-1.4332648545;0.0086299641;1.4353800302;0.0088853952;302.3859355379;0.6260067337
56060.8308681;2456061.3308681;55237.1644164416;3.0239529839;0.0054991319;0.7961;-1.4490185265;0.0019744376;0.5349810726;0.0040484173;0.15;-1.3806178952;0.0082162033;1.3825923328;0.0084501125;302.3859355379;0.7238914078
56067.8170023;2456068.3170023;55237.1644164416;3.0439644072;0.005290624;0.7961;-1.4561798651;0.0018870858;0.4941858766;0.0042412186;0.15;-1.294497676;0.0093180418;1.2963847618;0.0095072075;302.3859355379;0.746994778
56073.7918981;2456074.2918981;55237.1644164416;3.0452827111;0.0092969153;0.7961;-1.4566499824;0.003314634;0.5706838005;0.0711284828;0.15;-1.4507607144;0.1353232191;1.4540753483;0.1353638077;302.3859355379;0.7667539503
56074.7896412;2456075.2896412;55237.1644164416;3.047742021;0.0206401366;0.7961;-1.4575264476;0.0073529004;0.5826142833;0.0435321561;0.15;-1.4732246711;0.0811247498;1.4805775715;0.0814572905;302.3859355379;0.7700535188
56084.9896644;2456085.4896644;55237.1644164416;3.288154471;0.0048565679;0.7961;-1.5399614693;0.0016036204;0.6122576322;0.0061358309;0.15;-1.5271073714;0.0108808669;1.5287109918;0.0109984027;302.3859355379;0.8037853231
56085.9912269;2456086.4912269;55237.1644164416;3.2054886927;0.0035831065;0.7961;-1.5123165633;0.0012136397;0.6330578148;0.0289342804;0.15;-1.5633802881;0.0496242129;1.5645939279;0.0496390515;302.3859355379;0.8070975224
56088.9509375;2456089.4509375;55237.1644164416;3.3059182535;0.0135718586;0.7961;-1.5458112163;0.0044572966;0.5271780246;0.0514755334;0.15;-1.3646650984;0.1060151366;1.3691223951;0.1061087965;302.3859355379;0.8168853804
56088.9582407;2456089.4582407;55237.1644164416;3.363247798;0.0054769587;0.7961;-1.5644781065;0.0017680922;0.5826716722;0.0051142652;0.15;-1.4733316135;0.0095297971;1.4750997058;0.0096924292;302.3859355379;0.8169095323
