MJD;JD;Epoche;F_vobs_blau[Jy];delta_F_vobs_blau[Jy];F_vo_blau;m_b[mag];delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot_[Jy];F_vo_rot;m_r[mag];delta_m_r;m_b-m_r;delta_m_b-m_r;P_LS;Phase_LS
55695.9769329;2455696.4769329;55152.5649564957;2.0646746953;0.0051441076;0.7961;-1.0347100279;0.0027050963;0.4752162132;0.0060923295;0.15;-1.2519999757;0.0139192698;0.2172899478;0.0141796903;308.8144765013;0.7596713165
55697.8028935;2455698.3028935;55152.5649564957;2.1355388617;0.0061538939;0.7961;-1.0713496376;0.0031287211;0.5697281163;0.0051725105;0.15;-1.4489409838;0.0098573017;0.3775913462;0.0103419192;308.8144765013;0.7655841241
55910.5436574;2455911.0436574;55152.5649564957;2.1180766822;0.0053502118;0.7961;-1.062435138;0.0027425441;0.4965914483;0.0042174262;0.15;-1.2997699434;0.0092208843;0.2373348054;0.0096200964;308.8144765013;0.454479173
55911.8938194;2455912.3938194;55152.5649564957;2.0762183616;0.0053339432;0.7961;-1.040763509;0.0027893286;0.5638739975;0.0043076247;0.15;-1.4377270224;0.008294307;0.3969635134;0.0087507647;308.8144765013;0.4588512543
56040.8944213;2456041.3944213;55152.5649564957;2.0438001611;0.0097230264;0.7961;-1.0236770128;0.0051652025;0.4055712828;0.0487848712;0.15;-1.0799398434;0.1305997321;0.0562628306;0.1307018337;308.8144765013;0.8765797344
56047.8875116;2456048.3875116;55152.5649564957;2.1547640836;0.0052082968;0.7961;-1.0810802601;0.0026243413;0.49491143;0.0057551849;0.15;-1.2960905623;0.0126257188;0.2150103022;0.0128955784;308.8144765013;0.8992246907
56280.5430208;2456281.0430208;55152.5649564957;1.8650886641;0.0054178474;0.7961;-0.9243296464;0.0031539268;0.4388731153;0.0047754051;0.15;-1.1656192959;0.0118139619;0.2412896495;0.0122277124;308.8144765013;0.6526074719
56280.866713;2456281.366713;55152.5649564957;1.8663727754;0.0055364846;0.7961;-0.9250769172;0.0032207723;0.4993553215;0.0052340509;0.15;-1.3057960584;0.0113802703;0.3807191411;0.0118272535;308.8144765013;0.6536556488
56285.6106829;2456286.1106829;55152.5649564957;1.9013991425;0.0051824247;0.7961;-0.9452641745;0.0029592661;0.4661280491;0.0059214167;0.15;-1.2310349454;0.0137925544;0.2857707709;0.0141064458;308.8144765013;0.6690175255
56286.5719213;2456287.0719213;55152.5649564957;1.8815122168;0.0051223063;0.7961;-0.9338485466;0.0029558529;0.4972830614;0.0066863924;0.15;-1.3012810185;0.0145986439;0.3674324719;0.0148948807;308.8144765013;0.6721301982
