MJD;JD;Epoche;F_vobs_blau[Jy];?F_vobs_blau[Jy];F_vo_blau;m_blau[mag];delta_m_b;F_vobsrot[Jy];delta_F_vobs_rot[Jy];F_vo_rot;m_r[mag];delta_m_r;m_b-m_r;delta_m_b-m_r;P_LS;Phase_LS
55185.8467361;2455186.3467361;55209.8322832283;42.594743337;0.0299743528;0.7961;-4.3209709544;0.0007640436;7.3225237181;0.048107507;0.15;-4.22142382;0.0071330683;-0.0995471343;0.0071738711;405.99150075;0.9409210609
55165.5466782;2455166.0466782;55209.8322832283;39.6617799261;0.0191212107;0.7961;-4.2435114412;0.0005234407;6.9538337814;0.0077504957;0.15;-4.165332616;0.0012101229;-0.0781788252;0.0013184793;405.99150075;0.8909198716
55882.7182986;2455883.2182986;55209.8322832283;34.7909627731;0.0174337897;0.7961;-4.1012470582;0.0005440636;6.4496572281;0.0072506683;0.15;-4.0836134382;0.0012205785;-0.0176336199;0.0013363447;405.99150075;0.6573894136
55883.6839352;2455884.1839352;55209.8322832283;35.0197559914;0.0161961301;0.7961;-4.1083637295;0.0005021373;6.420789925;0.0077041101;0.15;-4.0787430047;0.0013027418;-0.0296207248;0.0013961655;405.99150075;0.6597678787
55891.6276157;2455892.1276157;55209.8322832283;35.5193666545;0.0169654732;0.7961;-4.1237439734;0.0005185911;6.5349349274;0.0075038905;0.15;-4.0978750208;0.0012467218;-0.0258689526;0.0013502785;405.99150075;0.6793340038
55892.6483333;2455893.1483333;55209.8322832283;35.4472641759;0.0162897894;0.7961;-4.121537745;0.00049895;6.4752146858;0.0068648033;0.15;-4.0879072824;0.0011510608;-0.0336304626;0.0012545485;405.99150075;0.6818481392
55896.6225579;2455897.1225579;55209.8322832283;35.7772773185;0.01825626;0.7961;-4.1315991585;0.0005540243;6.5050391485;0.0078237581;0.15;-4.0928966388;0.0013058396;-0.0387025197;0.0014185062;405.99150075;0.6916370747
55899.6155208;2455900.1155208;55209.8322832283;35.8292268472;0.0150362669;0.7961;-4.133174532;0.0004556453;6.5937697131;0.0076183871;0.15;-4.1076062908;0.0012544506;-0.0255682412;0.0013346382;405.99150075;0.6990090588
55900.6109722;2455901.1109722;55209.8322832283;35.8285525102;0.0165211404;0.7961;-4.1331540973;0.000500651;6.5886559754;0.0077680013;0.15;-4.1067639313;0.001280079;-0.0263901659;0.0013745013;405.99150075;0.7014609609
55910.549838;2455911.049838;55209.8322832283;35.5451837803;0.015301545;0.7961;-4.1245328502;0.0004673894;6.5314807789;0.0063204636;0.15;-4.0973009852;0.0010506586;-0.0272318651;0.0011499288;405.99150075;0.7259414384
55911.9164468;2455912.4164468;55209.8322832283;36.0140372398;0.0154780306;0.7961;-4.1387604635;0.0004666252;6.5621807854;0.0079398601;0.15;-4.1023923295;0.0013136782;-0.036368134;0.0013940909;405.99150075;0.7293075404
56252.369838;2456252.869838;55209.8322832283;33.6531420667;0.016178569;0.7961;-4.0651449874;0.0005219619;6.4605783662;0.0064379162;0.15;-4.0854503494;0.0010819277;0.0203053619;0.0012012542;405.99150075;0.5678802459
56259.7790509;2456260.2790509;55209.8322832283;33.6925751515;0.0164386893;0.7961;-4.0664164545;0.0005297333;6.5189032252;0.0064610468;0.15;-4.095208187;0.0010761001;0.0287917325;0.0011994202;405.99150075;0.5861299208
56259.8000926;2456260.3000926;55209.8322832283;33.7517440048;0.016176529;0.7961;-4.0683214862;0.0005203714;6.4703487764;0.0065800938;0.15;-4.0870910809;0.0011041516;0.0187695947;0.0012206298;405.99150075;0.5861817487
56273.5993056;2456274.0993056;55209.8322832283;34.2576495859;0.0163470385;0.7961;-4.0844748471;0.0005180908;6.5042595298;0.0074268408;0.15;-4.0927665072;0.0012397399;0.0082916601;0.0013436417;405.99150075;0.6201706696
55185.8299884;2455186.3299884;55209.8322832283;42.6839958171;0.0442370281;0.7961;-4.3232436119;0.0011252401;7.5133847347;0.0580755793;0.15;-4.2493609227;0.008392324;-0.0738826892;0.0084674239;405.99150075;0.9408798096
